Prompt,Response
Write a python function to check whether the given two integers have opposite sign or not.,"""""""

def opposite_sign(x, y):
    return (x ^ y) < 0"
Write a function to find the nth octagonal number.,"""""""

def nth_octagonal_number(n):
    return n * (3 * n - 2)"
Write a python function to count the number of substrings with the sum of digits equal to their length.,"""""""
def count_substrings(s):
    count = 0
    for i in range(len(s)):
        for j in range(i+1, len(s)+1):
            substring = s[i:j]
            sum = 0
            for c in substring:
                sum += int(c)
            if sum == len(substring):
                count += 1
    return count"
Write a python function to find smallest number in a list.,"""""""

def find_smallest_number(numbers):
    smallest_number = numbers[0]
    for number in numbers:
        if number < smallest_number:
            smallest_number = number
    return smallest_number"
Write a function to find the maximum difference between available pairs in the given tuple list.,"""""""

def max_difference(tuple_list):
    max_diff = 0
    for i in range(len(tuple_list)):
        for j in range(i+1, len(tuple_list)):
            diff = abs(tuple_list[i][0] - tuple_list[j][0]) + abs(tuple_list[i][1] - tuple_list[j][1])
            if diff > max_diff:
                max_diff = diff
    return max_diff"
Write a function to sort a list of tuples using the second value of each tuple.,"""""""

def sort_tuples(tuples):
    return sorted(tuples, key=lambda x: x[1])"
Write a function to flatten a list and sum all of its elements.,"""""""

def flatten_and_sum(lst):
    flattened_list = []
    for item in lst:
        if type(item) == list:
            flattened_list += flatten_and_sum(item)
        else:
            flattened_list.append(item)
    return sum(flattened_list)"
Write a python function to count the number of positive numbers in a list.,"""""""

def count_positive_numbers(numbers):
    count = 0
    for num in numbers:
        if num > 0:
            count += 1
    return count"
Write a function to find the number of ways to partition a set of Bell numbers.,"""""""

def bell_partition(n):
    bell = [1]
    for i in range(1, n+1):
        bell.append(0)
        for j in range(i):
            bell[i] += bell[j]
    return bell[n]"
Write a python function to check whether the given array is monotonic or not.,"""""""

def is_monotonic(arr):
    increasing = True
    decreasing = True
    for i in range(1, len(arr)):
        if arr[i] > arr[i-1]:
            decreasing = False
        elif arr[i] < arr[i-1]:
            increasing = False
    return increasing or decreasing"
Write a function to check whether a list contains the given sublist or not.,"""""""

def check_sublist(list1, list2):
    if list2 in list1:
        return True
    else:
        return False"
Write a function to find whether all the given tuples have equal length or not.,"""""""
def check_tuple_length(tuples):
    length = len(tuples[0])
    for tup in tuples:
        if len(tup) != length:
            return False
    return True"
Write a function to sort a list of elements.,"""""""

def sort_list(list):
    list.sort()
    return list"
Write a python function to check whether the given number can be represented as the difference of two squares or not.,"""""""
def is_diff_of_squares(n):
    for i in range(n):
        for j in range(n):
            if i**2 - j**2 == n:
                return True
    return False"
Write a function to check whether it follows the sequence given in the patterns array.,"function checkSequence(arr, patterns) {
  let i = 0;
  while (i < arr.length) {
    let j = 0;
    while (j < patterns.length) {
      if (arr[i] === patterns[j]) {
        i++;
        j++;
      } else {
        return false;
      }
    }
  }
  return true;
}"
Write a function to find tuples which have all elements divisible by k from the given list of tuples.,"""""""
def find_divisible_tuples(tuples, k):
    result = []
    for tup in tuples:
        if all(x % k == 0 for x in tup):
            result.append(tup)
    return result"
Write a python function to find whether a number is divisible by 11.,"""""""

def is_divisible_by_11(num):
    if num % 11 == 0:
        return True
    else:
        return False"
Write a python function to check whether the length of the word is odd or not.,"""""""

def is_odd_length(word):
    return len(word) % 2 != 0"
Write a function to find the nth tetrahedral number.,"""""""

def tetrahedral_number(n):
    return n*(n+1)*(n+2)//6"
Write a function to find the volume of a sphere.,"""""""

def volume_of_sphere(radius):
    return (4/3) * 3.14 * (radius**3)"
Write a python function to find the character made by adding the ASCII value of all the characters of the given string modulo 26.,"""""""
def find_character(string):
    sum = 0
    for char in string:
        sum += ord(char)
    return chr(sum % 26)"
Write a function to find the nth number in the newman conway sequence.,"""""""

def newman_conway(n):
    if n == 1:
        return 1
    elif n == 2:
        return 1
    else:
        sequence = [1, 1]
        for i in range(2, n):
            sequence.append(sequence[sequence[i - 1] - 1] + sequence[i - sequence[i - 1] - 1])
        return sequence[n - 1]"
Write a function to find the surface area of a sphere.,"""""""

def surface_area_sphere(radius):
    return 4 * 3.14 * radius * radius"
Write a function to find nth centered hexagonal number.,"""""""

def nth_centered_hexagonal_number(n):
    return n * (2 * n - 1)"
Write a function to merge three dictionaries into a single dictionary.,"""""""

def merge_dicts(dict1, dict2, dict3):
    merged_dict = dict1.copy()
    merged_dict.update(dict2)
    merged_dict.update(dict3)
    return merged_dict"
"Write a function to get the frequency of all the elements in a list, returned as a dictionary.","""""""

def get_frequency(list):
    frequency = {}
    for item in list:
        if item in frequency:
            frequency[item] += 1
        else:
            frequency[item] = 1
    return frequency"
Write a function to find the closest smaller number than n.,"""""""

def closest_smaller_number(n):
    if n <= 0:
        return -1
    else:
        return n - 1"
Write a python function to find the length of the longest word.,"""""""
def longest_word_length(words):
    longest_length = 0
    for word in words:
        if len(word) > longest_length:
            longest_length = len(word)
    return longest_length"
Write a function to check if a string is present as a substring in a given list of string values.,"""""""

def is_substring(string, list_of_strings):
    for s in list_of_strings:
        if string in s:
            return True
    return False"
Write a function to check whether the given number is undulating or not.,"""""""

def is_undulating(n):
    n = str(n)
    for i in range(len(n)-2):
        if n[i] == n[i+1] and n[i+1] == n[i+2]:
            return False
    return True"
Write a function to calculate the value of 'a' to the power 'b'.,"""""""

def power(a, b):
    if b == 0:
        return 1
    else:
        return a * power(a, b-1)"
"Given a list of tuples, write a function that returns the first value of the tuple with the smallest second value.","""""""

def get_min_second_value(tuples):
    min_value = float('inf')
    min_tuple = None
    for t in tuples:
        if t[1] < min_value:
            min_value = t[1]
            min_tuple = t
    return min_tuple[0]"
Write a python function to find the length of the smallest list in a list of lists.,"""""""

def find_smallest_list_length(list_of_lists):
    smallest_length = float('inf')
    for lst in list_of_lists:
        if len(lst) < smallest_length:
            smallest_length = len(lst)
    return smallest_length"
Write a python function to find the number of divisors of a given integer.,"""""""

def find_divisors(n):
    divisors = []
    for i in range(1, n+1):
        if n % i == 0:
            divisors.append(i)
    return len(divisors)"
"Write a function to find frequency of each element in a flattened list of lists, returned in a dictionary.","""""""

def frequency_of_elements(list_of_lists):
    frequency_dict = {}
    for list_ in list_of_lists:
        for element in list_:
            if element in frequency_dict:
                frequency_dict[element] += 1
            else:
                frequency_dict[element] = 1
    return frequency_dict"
Write a function to multiply all the numbers in a list and divide with the length of the list.,"""""""

def multiply_and_divide(numbers):
    product = 1
    for num in numbers:
        product *= num
    return product / len(numbers)"
"Write a function to convert the given decimal number to its binary equivalent, represented as a string with no leading zeros.","""""""
def decimal_to_binary(decimal):
    binary = """"
    while decimal > 0:
        binary = str(decimal % 2) + binary
        decimal = decimal // 2
    return binary"
"Write a function to find the next smallest palindrome of a specified integer, returned as an integer.","""""""

def next_smallest_palindrome(n):
    n += 1
    while not is_palindrome(n):
        n += 1
    return n

def is_palindrome(n):
    s = str(n)
    return s == s[::-1]"
Write a function to find the kth element in the given array using 1-based indexing.,"""""""

def find_kth_element(arr, k):
    arr.sort()
    return arr[k-1]"
Write a function to convert a snake case string to camel case string.,"""""""

def snake_to_camel(snake_case_string):
    camel_case_string = snake_case_string[0].lower()
    for c in snake_case_string[1:]:
        if c == '_':
            continue
        elif c.islower():
            camel_case_string += c
        else:
            camel_case_string += c.lower()
    return camel_case_string"
"Write a function to find the Eulerian number a(n, m).","""""""

def eulerian_number(n, m):
    if n == 0:
        return 1
    elif m == 0:
        return 0
    else:
        return (n * eulerian_number(n - 1, m)) + eulerian_number(n, m - 1)"
Write a function to sort each sublist of strings in a given list of lists.,"""""""

def sort_sublists(list_of_lists):
    for sublist in list_of_lists:
        sublist.sort()
    return list_of_lists"
Write a python function to count true booleans in the given list.,"""""""
def count_true_booleans(list):
    count = 0
    for item in list:
        if item == True:
            count += 1
    return count"
Write a function to append the given list to the given tuples.,"""""""
def append_list_to_tuples(tuples, list):
    return tuple(list) + tuples"
Write a function to merge three lists into a single sorted list.,"""""""

def merge_lists(list1, list2, list3):
    merged_list = list1 + list2 + list3
    merged_list.sort()
    return merged_list"
Write a python function to find the number of numbers with an odd value when rotating a binary string the given number of times.,"""""""

def rotate_binary_string(s, n):
    s = s[n:] + s[:n]
    count = 0
    for i in s:
        if i == '1':
            count += 1
    return count"
Write a function to find the common elements in given nested lists.,"""""""

def common_elements(lists):
    common = set(lists[0])
    for l in lists[1:]:
        common &= set(l)
    return list(common)"
Write a function to check if a string represents an integer or not.,"""""""

def is_integer(s):
    try:
        int(s)
        return True
    except ValueError:
        return False"
Write a function to check whether all dictionaries in a list are empty or not.,"""""""

def is_empty(list_of_dicts):
    for dict in list_of_dicts:
        if dict:
            return False
    return True"
Write a function to convert a given tuple of positive integers into a single integer.,"""""""

def tuple_to_int(tuple):
    result = 0
    for num in tuple:
        result = result * 10 + num
    return result"
Write a function to convert all possible convertible elements in a list of lists to floats.,"""""""

def convert_to_float(list_of_lists):
    for i in range(len(list_of_lists)):
        for j in range(len(list_of_lists[i])):
            try:
                list_of_lists[i][j] = float(list_of_lists[i][j])
            except ValueError:
                pass
    return list_of_lists"
Write a function to convert a string to a list of strings split on the space character.,"""""""

def string_to_list(string):
    return string.split(' ')"
Write a python function to find the element that appears only once in a sorted array.,"""""""

def find_element(arr):
    left = 0
    right = len(arr) - 1
    while left < right:
        mid = (left + right) // 2
        if arr[mid] == arr[mid - 1]:
            if (mid - left) % 2 == 0:
                right = mid - 2
            else:
                left = mid + 1
        elif arr[mid] == arr[mid + 1]:
            if (right - mid) % 2 == 0:
                left = mid + 2
            else:
                right = mid - 1
        else:
            return arr[mid]
    return arr[left]

arr = [1, 1, 2, 2, 3, 3, 4, 4, 5]
print(find_element(arr))"
Write a function to find the maximum absolute product between numbers in pairs of tuples within a given list.,"""""""

def max_absolute_product(list_of_tuples):
    max_product = 0
    for tuple1, tuple2 in list_of_tuples:
        product = abs(tuple1[0] * tuple2[0]) + abs(tuple1[1] * tuple2[1])
        if product > max_product:
            max_product = product
    return max_product"
Write a function to sum all amicable numbers from 1 to a specified number.,"""""""

def sum_amicable_numbers(n):
    sum = 0
    for i in range(1, n+1):
        if is_amicable(i):
            sum += i
    return sum

def is_amicable(n):
    sum1 = 0
    sum2 = 0
    for i in range(1, n):
        if n % i == 0:
            sum1 += i
    for i in range(1, sum1):
        if sum1 % i == 0:
            sum2 += i
    if sum2 == n and n != sum1:
        return True
    else:
        return False"
Write a function to get the angle of a complex number.,"""""""

def get_angle(z):
    return math.atan2(z.imag, z.real)"
Write a function to find the maximum difference between the number of 0s and number of 1s in any sub-string of the given binary string.,"""""""

def max_difference(s):
    max_diff = 0
    count_0 = 0
    count_1 = 0
    for c in s:
        if c == '0':
            count_0 += 1
        else:
            count_1 += 1
        diff = count_1 - count_0
        max_diff = max(max_diff, diff)
    return max_diff"
Write a python function to find the sum of common divisors of two given numbers.,"""""""

def common_divisors_sum(a, b):
    sum = 0
    for i in range(1, min(a, b) + 1):
        if a % i == 0 and b % i == 0:
            sum += i
    return sum"
Write a function to multiply two integers.,"""""""

def multiply(a, b):
    return a * b"
Write a function to find words that are longer than n characters from a given list of words.,"""""""

def find_long_words(words, n):
    long_words = []
    for word in words:
        if len(word) > n:
            long_words.append(word)
    return long_words"
Write a function to calculate whether the matrix is a magic square.,"""""""

def is_magic_square(matrix):
    n = len(matrix)
    # calculate the sum of the first row
    row_sum = sum(matrix[0])
    # calculate the sum of the first column
    col_sum = sum([matrix[i][0] for i in range(n)])
    # calculate the sum of the diagonal
    diag_sum = sum([matrix[i][i] for i in range(n)])
    # calculate the sum of the other diagonal
    other_diag_sum = sum([matrix[i][n-i-1] for i in range(n)])
    # check if all sums are equal
    if row_sum == col_sum == diag_sum == other_diag_sum:
        return True
    else:
        return False"
Write a function to find the item with maximum frequency in a given list.,"""""""

def max_frequency(list):
    frequency = {}
    for item in list:
        if item in frequency:
            frequency[item] += 1
        else:
            frequency[item] = 1
    max_frequency = 0
    max_item = None
    for item, count in frequency.items():
        if count > max_frequency:
            max_frequency = count
            max_item = item
    return max_item"
Write a python function to reverse only the vowels of a given string (where y is not a vowel).,"""""""

def reverse_vowels(string):
    vowels = ""aeiouAEIOU""
    string_list = list(string)
    start = 0
    end = len(string) - 1
    while start < end:
        if string_list[start] not in vowels:
            start += 1
        elif string_list[end] not in vowels:
            end -= 1
        else:
            string_list[start], string_list[end] = string_list[end], string_list[start]
            start += 1
            end -= 1
    return """".join(string_list)"
Write a function to convert a tuple to a string.,"""""""
def tuple_to_string(tuple):
    string = """"
    for item in tuple:
        string += str(item)
    return string"
Write a function to calculate the sum of the negative numbers of a given list of numbers.,"""""""

def sum_negative_numbers(numbers):
    sum = 0
    for num in numbers:
        if num < 0:
            sum += num
    return sum"
Write a function to find the nth hexagonal number.,"""""""

def nth_hexagonal_number(n):
    return n*(2*n - 1)"
Write a function to find the ratio of zeroes to non-zeroes in an array of integers.,"""""""

def zero_nonzero_ratio(arr):
    zeroes = 0
    nonzeroes = 0
    for num in arr:
        if num == 0:
            zeroes += 1
        else:
            nonzeroes += 1
    return zeroes / nonzeroes"
Write a python function to check whether the given number can be represented as sum of non-zero powers of 2 or not.,"""""""

def is_power_of_2(n):
    if n == 0:
        return False
    while n != 1:
        if n % 2 != 0:
            return False
        n = n // 2
    return True

def is_sum_of_powers_of_2(n):
    if n == 0:
        return True
    for i in range(n):
        if is_power_of_2(i) and is_power_of_2(n - i):
            return True
    return False"
Write a function to find the circumference of a circle.,"""""""

def circumference(radius):
    return 2 * 3.14 * radius"
Write a function to flatten the list of lists into a single set of numbers.,"""""""

def flatten_list(list_of_lists):
    flattened_list = []
    for sublist in list_of_lists:
        for item in sublist:
            flattened_list.append(item)
    return flattened_list"
Write a function to sort a list of elements.,"""""""

def sort_list(list):
    list.sort()
    return list"
Write a function to count number items that are identical in the same position of three given lists.,"""""""

def count_identical_items(list1, list2, list3):
    count = 0
    for i in range(len(list1)):
        if list1[i] == list2[i] and list2[i] == list3[i]:
            count += 1
    return count"
Write a function to find number of lists present in the given tuple.,"""""""

def count_lists(tuple):
    count = 0
    for item in tuple:
        if isinstance(item, list):
            count += 1
    return count"
Write a python function to find the maximum difference between any two elements in a given array.,"""""""

def max_difference(arr):
    max_diff = 0
    for i in range(len(arr)):
        for j in range(i+1, len(arr)):
            diff = arr[j] - arr[i]
            if diff > max_diff:
                max_diff = diff
    return max_diff"
"Write a function that returns integers x and y that satisfy ax + by = n as a tuple, or return None if no solution exists.","""""""

def solve_linear_diophantine(a, b, n):
    if a == 0 and b == 0:
        return None
    elif a == 0:
        if n % b == 0:
            return (0, n // b)
        else:
            return None
    elif b == 0:
        if n % a == 0:
            return (n // a, 0)
        else:
            return None
    else:
        if n % gcd(a, b) == 0:
            x = n // gcd(a, b)
            y = (x * a * b) // b
            return (x, y)
        else:
            return None

def gcd(a, b):
    if b == 0:
        return a
    else:
        return gcd(b, a % b)"
Write a function to remove all elements from a given list present in another list.,"""""""

def remove_elements(list1, list2):
    return [x for x in list1 if x not in list2]"
"Write a function to calculate the sum (n - 2*i) from i=0 to n // 2, for instance n + (n-2) + (n-4)... (until n-x =< 0).","""""""

def sum_n_minus_2i(n):
    sum = 0
    for i in range(n // 2 + 1):
        sum += n - 2 * i
    return sum

print(sum_n_minus_2i(10))"
Write a function to calculate the area of a regular polygon given the length and number of its sides.,"""""""

def polygon_area(length, sides):
    area = (sides * length**2) / (4 * math.tan(math.pi / sides))
    return area"
Write a function to determine if the sum of the divisors of two integers are the same.,"""""""

def is_same_sum_of_divisors(a, b):
    def sum_of_divisors(n):
        divisors = []
        for i in range(1, n + 1):
            if n % i == 0:
                divisors.append(i)
        return sum(divisors)

    return sum_of_divisors(a) == sum_of_divisors(b)"
Write a function to count the number of characters in a string that occur at the same position in the string as in the English alphabet (case insensitive).,"The function should return an integer.

Example
For s = ""abc"", the output should be
countSamePositionCharacters(s) = 2.

There are two characters that occur at the same position in the string as in the English alphabet: 'a' and 'c'.

For s = ""abca"", the output should be
countSamePositionCharacters(s) = 3.

There are three characters that occur at the same position in the string as in the English alphabet: 'a', 'b' and 'c'."
Write a function that counts the number of pairs of integers in a list that xor to an even number.,"""""""

def count_even_pairs(nums):
    count = 0
    for i in range(len(nums)):
        for j in range(i+1, len(nums)):
            if nums[i] ^ nums[j] % 2 == 0:
                count += 1
    return count"
Write a python function to find the smallest power of 2 greater than or equal to n.,"""""""

def smallest_power_of_2(n):
    power = 1
    while power < n:
        power *= 2
    return power"
Write a function to count the number of occurrences of a number in a given list.,"""""""

def count_occurrences(list, num):
    count = 0
    for i in list:
        if i == num:
            count += 1
    return count"
Write a function to find the sum of numbers in a list within a range specified by two indices.,"""""""

def sum_range(nums, start, end):
    total = 0
    for i in range(start, end + 1):
        total += nums[i]
    return total"
Write a function to find the perimeter of a regular pentagon from the length of its sides.,"""""""

def pentagon_perimeter(side_length):
    return 5 * side_length"
Write a function to count the number of occurence of the string 'std' in a given string.,"""""""

def count_std(string):
    count = 0
    for i in range(len(string)-2):
        if string[i:i+3] == 'std':
            count += 1
    return count"
Write a function to check if all the elements in tuple have same data type or not.,"""""""

def check_same_type(tuple):
    type = type(tuple[0])
    for element in tuple:
        if type(element) != type:
            return False
    return True"
"Write a function that takes in a sorted array, its length (n), and an element and returns whether the element is the majority element in the given sorted array. (The majority element is the element that occurs more than n/2 times.)","""""""

def isMajorityElement(arr, n, element):
    count = 0
    for i in range(n):
        if arr[i] == element:
            count += 1
    if count > n/2:
        return True
    else:
        return False"
Write a python function to count the number of set bits (binary digits with value 1) in a given number.,"""""""

def count_set_bits(num):
    count = 0
    while num > 0:
        if num & 1 == 1:
            count += 1
        num >>= 1
    return count"
Write a python function to remove the characters which have odd index values of a given string.,"""""""
def remove_odd_index_characters(string):
    result = """"
    for i in range(len(string)):
        if i % 2 == 0:
            result += string[i]
    return result"
Write a function to find minimum of three numbers.,"""""""

def find_min(a, b, c):
    if a < b and a < c:
        return a
    elif b < a and b < c:
        return b
    else:
        return c"
Write a python function to check whether all the bits are unset in the given range or not.,"""""""

def check_bits_unset(num, start, end):
    mask = ~(~0 << (end + 1)) & (~0 << start)
    return (num & mask) == 0"
"Write a function that takes in an array and an integer n, and re-arranges the first n elements of the given array so that all negative elements appear before positive ones, and where the relative order among negative and positive elements is preserved.","""""""

def rearrange_array(arr, n):
    # Initialize two pointers
    left = 0
    right = n - 1

    # Iterate through the array
    while left < right:
        # If the element is negative, move it to the left
        if arr[left] < 0:
            left += 1
        # If the element is positive, move it to the right
        elif arr[right] > 0:
            right -= 1
        # If the element is neither negative nor positive, swap them
        else:
            arr[left], arr[right] = arr[right], arr[left]
            left += 1
            right -= 1

    return arr"
"Write a function that takes in a string and character, replaces blank spaces in the string with the character, and returns the string.","""""""

def replace_blank_spaces(string, character):
    new_string = """"
    for char in string:
        if char == "" "":
            new_string += character
        else:
            new_string += char
    return new_string"
Write a function that takes in a list and an integer n and returns a list containing the n largest items from the list.,"""""""

def n_largest_items(list, n):
    list.sort(reverse=True)
    return list[:n]"
Write a function to find the lateral surface area of a cylinder.,"""""""

def lateral_surface_area(radius, height):
    return 2 * 3.14 * radius * height"
Write a function to find the volume of a cube given its side length.,"""""""

def cube_volume(side_length):
    return side_length ** 3"
Write a python function to set all even bits of a given number.,"""""""

def set_even_bits(n):
    mask = 0xAAAAAAAA
    return n | mask"
Write a function that takes in a list of tuples and returns a dictionary mapping each unique tuple to the number of times it occurs in the list.,"""""""
def count_tuples(tuples):
    counts = {}
    for tup in tuples:
        if tup in counts:
            counts[tup] += 1
        else:
            counts[tup] = 1
    return counts"
Write a python function to count the number of non-empty substrings of a given string.,"""""""
def count_substrings(string):
    count = 0
    for i in range(len(string)):
        for j in range(i+1, len(string)+1):
            if string[i:j] != """":
                count += 1
    return count"
"Write a function that takes in positive integers m and n and finds the number of possible sequences of length n, such that each element is a positive integer and is greater than or equal to twice the previous element but less than or equal to m.","""""""

def count_sequences(m, n):
    # Initialize the array
    dp = [[0 for _ in range(m + 1)] for _ in range(n + 1)]

    # Base case
    for i in range(1, m + 1):
        dp[1][i] = 1

    # Fill the array
    for i in range(2, n + 1):
        for j in range(1, m + 1):
            for k in range(j, m + 1):
                if k >= 2 * j:
                    dp[i][j] += dp[i - 1][k]

    # Return the result
    return dp[n][1]

# Test
m = 5
n = 3
print(count_sequences(m, n))"
Write a function that takes in two lists and replaces the last element of the first list with the elements of the second list.,"""""""

def replace_last_element(list1, list2):
    list1[-1] = list2
    return list1"
Write a function to count the total number of characters in a string.,"""""""

def count_characters(string):
    count = 0
    for char in string:
        count += 1
    return count"
Write a python function to find the next perfect square greater than a given number.,"""""""

def next_perfect_square(n):
    """"""
    Find the next perfect square greater than a given number.
    """"""
    n += 1
    while not is_perfect_square(n):
        n += 1
    return n

def is_perfect_square(n):
    """"""
    Check if a number is a perfect square.
    """"""
    root = n ** 0.5
    return root == int(root)"
"Write a function that takes an array and finds the maximum sum of a bitonic subsequence for the given array, where a sequence is bitonic if it is first increasing and then decreasing.","""""""

def max_bitonic_sum(arr):
    n = len(arr)
    inc = [0] * n
    dec = [0] * n

    # calculate increasing subsequence
    inc[0] = arr[0]
    for i in range(1, n):
        inc[i] = max(inc[i-1], arr[i])

    # calculate decreasing subsequence
    dec[n-1] = arr[n-1]
    for i in range(n-2, -1, -1):
        dec[i] = max(dec[i+1], arr[i])

    # calculate maximum bitonic sum
    max_sum = arr[0]
    for i in range(1, n-1):
        max_sum = max(max_sum, inc[i-1] + arr[i] + dec[i+1])

    return max_sum"
Write a function for computing square roots using the babylonian method.,"""""""

def babylonian_sqrt(n):
    x = n
    while True:
        y = (x + n/x) / 2
        if abs(y-x) < 0.000001:
            return x
        x = y"
Write a function to find the length of the longest palindromic subsequence in the given string.,"""""""

def longest_palindromic_subsequence(string):
    n = len(string)
    dp = [[0 for _ in range(n)] for _ in range(n)]

    for i in range(n):
        dp[i][i] = 1

    for i in range(n-2, -1, -1):
        for j in range(i+1, n):
            if string[i] == string[j]:
                dp[i][j] = dp[i+1][j-1] + 2
            else:
                dp[i][j] = max(dp[i+1][j], dp[i][j-1])

    return dp[0][n-1]"
Write a function that takes in an integer n and calculates the harmonic sum of n-1.,"""""""

def harmonic_sum(n):
    if n == 1:
        return 1
    else:
        return 1/n + harmonic_sum(n-1)"
Write a function to find the intersection of two arrays.,"""""""

def intersection(arr1, arr2):
    intersection = []
    for i in arr1:
        if i in arr2:
            intersection.append(i)
    return intersection"
Write a python function that takes in a tuple and an element and counts the occcurences of the element in the tuple.,"""""""

def count_element(tuple, element):
    count = 0
    for i in tuple:
        if i == element:
            count += 1
    return count"
"Write a function that takes in a list and an element and inserts the element before each element in the list, and returns the resulting list.","""""""

def insert_before_each_element(list, element):
    new_list = []
    for item in list:
        new_list.append(element)
        new_list.append(item)
    return new_list"
Write a python function to convert complex numbers to polar coordinates.,"""""""

def complex_to_polar(complex_number):
    real = complex_number.real
    imaginary = complex_number.imag
    r = (real**2 + imaginary**2)**0.5
    theta = math.atan2(imaginary, real)
    return (r, theta)"
Write a python function that returns the number of integer elements in a given list.,"""""""

def count_integers(lst):
    count = 0
    for item in lst:
        if isinstance(item, int):
            count += 1
    return count"
"Write a function that takes in a list and length n, and generates all combinations (with repetition) of the elements of the list and returns a list with a tuple for each combination.","""""""

def combinations_with_repetition(lst, n):
    if n == 0:
        return [()]
    elif n == 1:
        return [(x,) for x in lst]
    else:
        result = []
        for i in range(len(lst)):
            for combination in combinations_with_repetition(lst[i:], n-1):
                result.append((lst[i],) + combination)
        return result"
Write a python function that takes in a non-negative number and returns the number of prime numbers less than the given non-negative number.,"""""""

def count_primes(n):
    if n < 2:
        return 0
    primes = [True] * (n + 1)
    primes[0] = primes[1] = False
    for i in range(2, int(n**0.5) + 1):
        if primes[i]:
            for j in range(i*i, n + 1, i):
                primes[j] = False
    return sum(primes)"
Write a function that takes in two numbers and returns a tuple with the second number and then the first number.,"""""""

def swap_numbers(num1, num2):
    return (num2, num1)"
Write a function to maximize the given two tuples.,"""""""

def maximize_tuples(tuple1, tuple2):
    if tuple1[0] > tuple2[0]:
        return tuple1
    elif tuple1[0] < tuple2[0]:
        return tuple2
    else:
        if tuple1[1] > tuple2[1]:
            return tuple1
        else:
            return tuple2"
Write a function to find the nth newman–shanks–williams prime number.,"""""""

def nth_prime(n):
    primes = [2]
    num = 3
    while len(primes) < n:
        is_prime = True
        for prime in primes:
            if num % prime == 0:
                is_prime = False
                break
        if is_prime:
            primes.append(num)
        num += 2
    return primes[n-1]"
Write a function that takes in two tuples and performs mathematical division operation element-wise across the given tuples.,"""""""

def tuple_division(tuple1, tuple2):
    result = tuple(map(lambda x, y: x / y, tuple1, tuple2))
    return result"
"Write a function that takes in a list and an integer L and splits the given list into two parts where the length of the first part of the list is L, and returns the resulting lists in a tuple.","""""""

def split_list(list, L):
    first_part = list[:L]
    second_part = list[L:]
    return (first_part, second_part)"
Write a function to calculate a dog's age in dog's years.,"""""""

def dog_age(age):
    return age * 7

print(dog_age(10))"
